SWI-COR-0001# sh ip arp

Flags: * - Adjacencies learnt on non-active FHRP router
       + - Adjacencies synced via CFSoE
       # - Adjacencies Throttled for Glean
       D - Static Adjacencies attached to down interface

IP ARP Table for context default
Total number of entries: 351
Address         Age       MAC Address     Interface
192.100.70.2    00:16:08  8c60.4fc1.a2c1  Vlan70
192.100.70.11   00:16:42  0041.d257.6f41  Vlan70
192.100.70.12   00:01:02  0041.d266.c941  Vlan70
192.100.70.13   00:00:49  0041.d2a7.57c1  Vlan70
192.100.70.14   00:16:29  0041.d266.d541  Vlan70
192.100.70.15   00:16:23  0041.d267.d3c1  Vlan70
192.100.70.16   00:16:18  0041.d267.1241  Vlan70
192.100.70.17   00:06:11  0041.d266.f041  Vlan70
192.100.70.18   00:16:05  0041.d267.dc41  Vlan70
192.100.70.19   00:16:00  5006.ab85.39c1  Vlan70
192.100.20.1    00:06:46  0080.8712.1634  Vlan1
192.100.20.4    00:14:25  0021.b789.45b7  Vlan1
192.100.20.5    00:06:21  0021.b789.9126  Vlan1
192.100.20.6    00:18:41  0021.b789.3160  Vlan1
192.100.20.7    00:17:36  0080.8712.4a4d  Vlan1
192.100.20.8    00:06:34  0021.b789.91be  Vlan1
192.100.20.10   00:06:26  0021.b789.45a3  Vlan1
192.100.20.11   00:14:54  0021.b789.53a0  Vlan1
192.100.20.12   00:06:49  0021.b789.c5f0  Vlan1
192.100.20.13   00:06:25  0021.b789.51b2  Vlan1
192.100.20.14   00:06:47  0021.b789.9182  Vlan1
192.100.20.15   00:03:33  0080.8712.46a5  Vlan1
192.100.20.16   00:03:23  0021.b789.91e1  Vlan1
192.100.20.17   00:04:07  0080.8712.d6a4  Vlan1
192.100.20.18   00:06:51  0080.8712.5601  Vlan1
192.100.20.19   00:06:41  0080.8712.56b5  Vlan1

192.100.20.23   00:03:12  0021.b789.3188  Vlan1
192.100.20.24   00:00:17  INCOMPLETE      Vlan1
192.100.20.25   00:06:24  0021.b789.91ef  Vlan1
192.100.20.26   00:06:38  0021.b789.3118  Vlan1
192.100.20.27   00:06:19  0080.8712.e68f  Vlan1
192.100.20.28   0.609855  0021.b709.05b8  Vlan1
192.100.20.29   00:03:35  0021.b789.5134  Vlan1
192.100.20.30   00:14:59  0021.b7c9.4adb  Vlan1
192.100.20.31   00:03:07  0021.b7c9.4abe  Vlan1
192.100.20.34   00:03:20  0021.b789.9141  Vlan1
192.100.20.36   00:07:44  0021.b789.51f4  Vlan1
192.100.20.38   00:00:23  0080.8712.56d2  Vlan1
192.100.20.39   00:14:38  0021.b7c9.4a3b  Vlan1
192.100.20.40   00:14:53  0080.8712.1616  Vlan1
192.100.20.41   00:07:02  0021.b715.c371  Vlan1
192.100.20.42   00:18:34  0021.b7c9.4add  Vlan1
192.100.20.43   00:03:20  0080.8712.061c  Vlan1
192.100.20.44   00:06:54  0021.b7c9.4acd  Vlan1
192.100.20.46   00:07:01  0021.b789.916a  Vlan1
192.100.20.47   00:06:09  0080.8712.ea44  Vlan1
192.100.20.49   00:06:32  0080.8712.1698  Vlan1
192.100.20.51   00:06:14  0080.8712.1648  Vlan1
192.100.20.52   00:00:40  0080.91ac.c29d  Vlan1
192.100.20.55   00:03:18  0021.b789.5b4f  Vlan1

192.100.20.70   00:03:33  0021.b789.1180  Vlan1
192.100.20.73   00:06:10  0021.b789.8517  Vlan1
192.100.20.74   00:07:03  0021.b7a5.60e1  Vlan1
192.100.20.75   00:00:40  0021.b789.6b65  Vlan1
192.100.20.76   00:14:30  0021.b789.510c  Vlan1
192.100.20.77   00:06:25  0021.b7c9.4a03  Vlan1
192.100.20.79   00:06:56  0021.b789.3144  Vlan1
192.100.20.80   00:13:28  0021.b789.c558  Vlan1
192.100.20.86   0.421960  0021.b789.919e  Vlan1
192.100.20.88   00:06:09  0021.b789.91da  Vlan1
192.100.20.90   00:03:35  0021.b7c9.4a5d  Vlan1
192.100.20.91   00:06:37  0080.8712.16e9  Vlan1
192.100.20.92   00:02:55  0080.8712.e6c6  Vlan1
192.100.20.93   00:06:53  0021.b789.c5bd  Vlan1
192.100.20.94   00:00:26  INCOMPLETE      Vlan1
192.100.20.95   00:06:50  0021.b789.cf1d  Vlan1
192.100.20.96   00:00:23  INCOMPLETE      Vlan1
192.100.20.97   00:06:04  0021.b789.cf2d  Vlan1
192.100.20.98   00:00:30  001b.78f0.d359  Vlan1
192.100.20.99   00:17:16  0080.91ac.c43e  Vlan1
192.100.20.100  00:14:32  0021.b789.3192  Vlan1
192.100.20.101  00:06:30  0021.b789.c545  Vlan1
192.100.20.102  00:06:36  0021.b789.45d3  Vlan1
192.100.20.103  00:00:03  INCOMPLETE      Vlan1
192.100.20.104  00:00:22  0080.8712.16cc  Vlan1
192.100.20.187  00:11:11  0021.b789.db4b  Vlan1
192.100.20.189  00:06:10  0021.b789.3b00  Vlan1
192.100.20.202  00:00:13  0080.916e.a9d9  Vlan1
192.100.20.204  00:03:25  0080.916e.aa8c  Vlan1
192.100.20.205  00:00:16  INCOMPLETE      Vlan1
